email,fax,form,govxcontentsection,govxdescription,language,managername,mmdOfficesTypes,mmdOfficesTypes_tid,nid,officenamecode,officetypecode,payments,receptionaddressnotes,receptionphonenumbers,title,websiteurl
hayabe@misgav.org.il,04-9902391,"{""onlineurl"": ""~"", ""email"": ""hayabe@misgav.org.il"", ""fax"": ""04-9902391"", ""letter"": ""\u05d3.\u05e0. \u05de\u05e9\u05d2\u05d1 2017900\r\n""}","<p><span style=""font-size: 12px;"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</span></p>",,he,חיה בנדק,ועדים מקומיים,371,3781,13811,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 960, \u05d7\u05e9\u05d1\u05d5\u05df 1160000/3"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 960, \u05d7\u05e9\u05d1\u05d5\u05df 1160000/3"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}",ד.נ. משגב 2017900,04-9902310,אבטליון,"{""url"": ""www.misgav.org.il"", ""title"": ""www.misgav.org.il""}"
camel_alona@iula.org.il,04-6388933,"{""onlineurl"": ""~"", ""email"": ""camel_alona@iula.org.il\r\n"", ""fax"": ""04-6388933\r\n"", ""letter"": ""\u05d3.\u05e0. \u05de\u05e0\u05e9\u05d4, \u05de\u05d5\u05e9\u05d1 \u05e2\u05de\u05d9\u05e7\u05dd 3738000\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>,,he,כאמל חלאבי,ועדים מקומיים,371,3686,13725,13,"{""onlineurl"": """", ""banktransfer"": """", ""postalbank"": """", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","ד.נ. מנשה, מושב עמיקם 3738000",04-6388561,אביאל,"{""url"": ""www.alona.org.il"", ""title"": ""www.alona.org.il""}"
izko@mrg.org.il,04691989,"{""onlineurl"": ""~"", ""email"": ""izko@mrg.org.il"", ""fax"": ""04691989"", ""letter"": ""\u05de\u05d5\u05e2\u05e6\u05d4 \u05d0\u05d6\u05d5\u05e8\u05d9\u05ea \u05de\u05e8\u05d5\u05dd \u05d2\u05dc\u05d9\u05dc, \u05de\u05d9\u05e8\u05d5\u05df 1391000""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>,,he,חיים איציקוביץ',ועדים מקומיים,371,2997,13029,13,"{""onlineurl"": """", ""banktransfer"": """", ""postalbank"": """", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","מועצה אזורית מרום גליל, מירון 1391000",046919810,אביבים,"{""url"": ""www.mrg.org.il"", ""title"": ""www.mrg.org.il""}"
roni@beer-tuvia.org.il,08-8509705,"{""onlineurl"": ""~"", ""email"": ""roni@beer-tuvia.org.il"", ""fax"": ""08-8509705"", ""letter"": ""\u05d3\u05d5\u05d0\u05e8 \u05d1\u05d0\u05e8 \u05d8\u05d5\u05d1\u05d9\u05d4 83815""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.&nbsp;</p>,,he,רוני אזולאי,ועדים מקומיים,371,3512,13555,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 985, \u05d7\u05e9\u05d1\u05d5\u05df 22000/66"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 985, \u05d7\u05e9\u05d1\u05d5\u05df 22000/66"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}",דואר באר טוביה 83815,08-8509706,אביגדור,"{""url"": ""http://www.beer-tuvia.org.il"", ""title"": ""http://www.beer-tuvia.org.il""}"
sarit.m@hefer.org.il,09-8989292,"{""onlineurl"": ""~"", ""email"": ""sarit.m@hefer.org.il"", ""fax"": ""09-8989292"", ""letter"": ""\u05de\u05d3\u05e8\u05e9\u05ea \u05e8\u05d5\u05e4\u05d9\u05df 4025000\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>,,he,שרית מימון,ועדים מקומיים,371,3219,13400,13,"{""onlineurl"": """", ""banktransfer"": """", ""postalbank"": """", ""treasury"": ""\u05ea\u05e9\u05dc\u05d5\u05dd \u05d1\u05de\u05d6\u05d5\u05de\u05df \u05d1\u05e8\u05e9\u05d5\u05ea"", ""check"": """", ""phone"": ""09-8989084"", ""cash"": """"}",מדרשת רופין 4025000,09-8981606,אביחיל,"{""url"": ""www.hefer.org.il"", ""title"": ""www.hefer.org.il""}"
dover@hagilboa.org.il,04-6531451,"{""onlineurl"": ""~"", ""email"": ""dover@hagilboa.org.il"", ""fax"": ""04-6531451"", ""letter"": ""\u05d3.\u05e0. \u05d2\u05dc\u05d1\u05d5\u05e2, \u05de\u05d5\u05e2\u05e6\u05d4 \u05d0\u05d6\u05d5\u05e8\u05d9\u05ea \u05d2\u05dc\u05d1\u05d5\u05e2 1894400""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>,,he,שי אלט,ועדים מקומיים,371,3070,13152,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd (12), \u05e1\u05e0\u05d9\u05e3 \u05e2\u05e4\u05d5\u05dc\u05d4 \u05e2\u05e1\u05e7\u05d9\u05dd 472, \u05de\u05e1\u05e4\u05e8 \u05d7\u05e9\u05d1\u05d5\u05df 19279"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05d4\u05e4\u05d5\u05e2\u05dc\u05d9\u05dd (12), \u05e1\u05e0\u05d9\u05e3 \u05e2\u05e4\u05d5\u05dc\u05d4 \u05e2\u05e1\u05e7\u05d9\u05dd 472, \u05de\u05e1\u05e4\u05e8 \u05d7\u05e9\u05d1\u05d5\u05df 19279"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","ד.נ. גלבוע, מועצה אזורית גלבוע 1894400",04-6533398,אביטל,"{""url"": ""www.hagilboa.org.il"", ""title"": ""www.hagilboa.org.il""}"
pinit@m-yehuda.org.il,02-9958601,"{""onlineurl"": ""~"", ""email"": ""pinit@m-yehuda.org.il"", ""fax"": ""02-9958601"", ""letter"": ""\u05de\u05e8\u05db\u05d6 \u05d0\u05d6\u05d5\u05e8\u05d9 \u05d4\u05e8 \u05d8\u05d5\u05d1, \u05d3.\u05e0. \u05e9\u05de\u05e9\u05d5\u05df 99700\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,he,פיני טורן,ועדים מקומיים,371,3386,13431,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 916, \u05d7\u05e9\u05d1\u05d5\u05df 126700/66\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 916, \u05d7\u05e9\u05d1\u05d5\u05df 126700/66\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","מרכז אזורי הר טוב, ד.נ. שמשון 99700",02-9958982,אביעזר,"{""url"": ""www.m-yehuda.org.il"", ""title"": ""www.m-yehuda.org.il""}"
meravy@myosef.org.il,04-9807496,"{""onlineurl"": ""~"", ""email"": ""meravy@myosef.org.il"", ""fax"": ""04-9807496"", ""letter"": ""\u05ea.\u05d3. 1, \u05d2\u05d5\u05e8\u05e0\u05d5\u05ea \u05d4\u05d2\u05dc\u05d9\u05dc 2286800\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>,,he,מירב יוסף,ועדים מקומיים,371,3725,13760,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 962, \u05d7\u05e9\u05d1\u05d5\u05df 673400/15"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 962, \u05d7\u05e9\u05d1\u05d5\u05df 673400/15"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","ת.ד. 1, גורנות הגליל 2286800",04-9105584,אבירים,"{""url"": ""www.myosef.org.il"", ""title"": ""www.myosef.org.il""}"
meravy@myosef.org.il,04-9807496,"{""onlineurl"": ""~"", ""email"": ""meravy@myosef.org.il"", ""fax"": ""04-9807496"", ""letter"": ""\u05ea.\u05d3. 1, \u05d2\u05d5\u05e8\u05e0\u05d5\u05ea \u05d4\u05d2\u05dc\u05d9\u05dc 2286800\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק</p>,,he,מירב יוסף,ועדים מקומיים,371,3708,13743,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 962, \u05d7\u05e9\u05d1\u05d5\u05df 673400/15"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 962, \u05d7\u05e9\u05d1\u05d5\u05df 673400/15"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","ת.ד. 1, גורנות הגליל 2286800",04-9105584,אבן מנחם,"{""url"": ""www.myosef.org.il"", ""title"": ""www.myosef.org.il""}"
pinit@m-yehuda.org.il,02-9958601,"{""onlineurl"": ""~"", ""email"": ""pinit@m-yehuda.org.il"", ""fax"": ""02-9958601"", ""letter"": ""\u05de\u05e8\u05db\u05d6 \u05d0\u05d6\u05d5\u05e8\u05d9 \u05d4\u05e8 \u05d8\u05d5\u05d1, \u05d3.\u05e0. \u05e9\u05de\u05e9\u05d5\u05df 99700\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,he,פיני טורן,ועדים מקומיים,371,3387,13432,13,"{""onlineurl"": """", ""banktransfer"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 916, \u05d7\u05e9\u05d1\u05d5\u05df 126700/66\r\n"", ""postalbank"": ""\u05d1\u05e0\u05e7 \u05dc\u05d0\u05d5\u05de\u05d9, \u05e1\u05e0\u05d9\u05e3 916, \u05d7\u05e9\u05d1\u05d5\u05df 126700/66\r\n"", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}","מרכז אזורי הר טוב, ד.נ. שמשון 99700",02-9958982,אבן ספיר,"{""url"": ""www.m-yehuda.org.il"", ""title"": ""www.m-yehuda.org.il""}"
lishka@shafir.org.il,08-8501790,"{""onlineurl"": ""~"", ""email"": ""lishka@shafir.org.il"", ""fax"": ""08-8501790"", ""letter"": ""\u05de\u05e8\u05db\u05d6 \u05e9\u05e4\u05d9\u05e8\u05d0 7941100\r\n""}",<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>,,he,אלי דאובה,ועדים מקומיים,371,3548,13590,13,"{""onlineurl"": """", ""banktransfer"": """", ""postalbank"": """", ""treasury"": """", ""check"": """", ""phone"": """", ""cash"": """"}",מרכז שפירא 7941100,08-8508907,אבן שמואל,"{""url"": ""www.shaffir.org.il"", ""title"": ""www.shaffir.org.il""}"
