Title,Published,MMDOfficesTypes,GovXDescription,ManagerName,Email,Fax,ReceptionAddressNotes,ReceptionPhoneNumbers,websiteURL,PaymentBankTransfer,GovXContentSection,FormEmail,FormFax,FormLetter,FormOnlineURL,forWizard,MMDSubjects,MMDTypes,OfficeIcon,OfficeNameCode,OfficeTypeCode,PaymentCash,PaymentCheck,PaymentOnlineURL,PaymentPhone,PaymentPostalBank,PaymentTreasury
פורייה - נווה עובד ,Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14052,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
פורייה עילית,Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14051,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
פורייה - כפר עבודה,Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14050,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
כנרת (מושבה) ,Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14049,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
שער הגולן ,Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14048,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
תל קציר,Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14047,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
רביד,Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14046,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
עין גב ,Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14045,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
מעגן,Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
",~,Yes,,,,14044,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
מסדה ,Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
",~,Yes,,,,14043,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
 כנרת (קבוצה),Yes,ועדים מקומיים,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14042,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
חוקוק,Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14041,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
דגניה ב',Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14040,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
 האון,Yes,ועדים מקומיים,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14039,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
דגניה א',Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"
בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14038,13,,,,,"
בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
גינוסר ,Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"
בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14037,13,,,,,"
בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
אשדות יעקב (מאוחד) ,Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14036,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
בית זרע,Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14035,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
אפיקים ,Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"
בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14034,13,,,,,"
בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
אשדות יעקב (איחוד),Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"
בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14033,13,,,,,"
בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
אלמגור,Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14032,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
אלומות,Yes,רשות מקומית,,אפרת מראד,lishca@j-v.org.il,04-6757641,"כתובת למכתבים: מבקר פנים
מ.א. עמק הירדן
15132
",04-6757600,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",lishca@j-v.org.il,04-6757641,"כתובת למכתבים:
מבקר פנים
מ.א. עמק הירדן
15132
",~,Yes,,,,14031,13,,,,,"בנק הפועלים טבריה
חשבון מס' 21902
סניף 12/723
",
נטע,Yes,רשות מקומית,,עינת שרזי,anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",08-6871682  ,,"בנק הפועלים 
סניף 645
חשבון 643495
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",~,Yes,,,,14030,13,,,,,"בנק הפועלים 
סניף 645
חשבון 643495
",
בני דקלים,Yes,רשות מקומית,,עינת שרזי,anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",08-6871682  ,,"בנק הפועלים 
סניף 645
חשבון 643495
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",~,Yes,,,,14029,13,,,,,"בנק הפועלים 
סניף 645
חשבון 643495
",
אליאב,Yes,רשות מקומית,,עינת שרזי,anat@lachish.org.il,08-6871674,,08-6871682  ,,"בנק הפועלים 
סניף 645
חשבון 643495
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",~,Yes,,,,14028,13,,,,,"בנק הפועלים 
סניף 645
חשבון 643495
",
נהורה,Yes,רשות מקומית,,עינת שרזי,anat@lachish.org.il,08-6871674,,08-6871682  ,,"בנק הפועלים 
סניף 645
חשבון 643495
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",~,Yes,,,,14027,13,,,,,"בנק הפועלים 
סניף 645
חשבון 643495
",
אמציה,Yes,רשות מקומית,,עינת שרזי,anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",08-6871682  ,,"בנק הפועלים 
סניף 645
חשבון 643495
",,anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",~,Yes,,,,14026,13,,,"בנק הפועלים 
סניף 645
חשבון 643495
",,,
תלמים,Yes,רשות מקומית,,עינת שרזי,anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",08-6871682  ,,"בנק הפועלים 
סניף 645
חשבון 643495
",,anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",~,Yes,,,,14025,13,,,,,"בנק הפועלים 
סניף 645
חשבון 643495
",
שקף,Yes,רשות מקומית,,עינת שרזי,anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",08-6871682  ,,"בנק הפועלים 
סניף 645
חשבון 643495
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",~,Yes,,,,14024,13,,,,,"בנק הפועלים 
סניף 645
חשבון 643495
",
שחר,Yes,רשות מקומית,,עינת שרזי,anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",08-6871682  ,,"בנק הפועלים 
סניף 645
חשבון 643495
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",~,Yes,,,,14023,13,,,,,"בנק הפועלים 
סניף 645
חשבון 643495
",
שדה משה,Yes,רשות מקומית,,עינת שרזי,anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",08-6871682  ,,"בנק הפועלים 
סניף 645
חשבון 643495
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",~,Yes,,,,14022,13,,,,,"בנק הפועלים 
סניף 645
חשבון 643495
",
שדה דוד,Yes,רשות מקומית,,עינת שרזי,anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",08-6871682  ,,"בנק הפועלים 
סניף 645
חשבון 643495
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",,,,,Yes,,,,14021,13,,,,,"בנק הפועלים 
סניף 645
חשבון 643495
",
עוצם,Yes,רשות מקומית,,עינת שרזי,anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",08-6871682  ,,"בנק הפועלים 
סניף 645
חשבון 643495
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",~,Yes,,,,14020,13,,,,,"בנק הפועלים 
סניף 645
חשבון 643495
","
"
"ניר ח""ן",Yes,רשות מקומית,,עינת שרזי,anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",08-6871682  ,,"בנק הפועלים 
סניף 645
חשבון 643495
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",~,Yes,,,,14019,13,,,,,"בנק הפועלים 
סניף 645
חשבון 643495
",
נוגה,Yes,רשות מקומית,,עינת שרזי,anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",08-6871682  ,,"בנק הפועלים 
סניף 645
חשבון 643495
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",~,Yes,,,,14018,13,,,,,"בנק הפועלים 
סניף 645
חשבון 643495
",
מנוחה,Yes,רשות מקומית,,עינת שרזי,anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",08-6871682  ,,"בנק הפועלים 
סניף 645
חשבון 643495
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",~,Yes,,,,14017,13,,,,,"בנק הפועלים 
סניף 645
חשבון 643495
",
לכיש,Yes,רשות מקומית,,עינת שרזי,anat@lachish.org.il,08-6871674 ,"מועצה אזורית לכיש, מרכז כפרי נהורה",08-6871682  ,,"בנק הפועלים 
סניף 645
חשבון 643495
","<p dir=""RTL"">הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",anat@lachish.org.il,08-6871674,"מועצה אזורית לכיש, מרכז כפרי נהורה",~,Yes,,,,14016,13,,,,,"בנק הפועלים 
סניף 645
חשבון 643495
",
יד נתן,Yes,רשות מקומית,,עינת שרזי ,anat@lachish.org.il,08-6871674 ,"מועצה אזורית לכיש, מרכז כפרי נהורה ",08-6871682  ,,"בנק הפועלים 
סניף 645
חשבון 643495 
","<p>הרשות המקומית תפקידה הוא לדאוג לענייני הציבור שבתחומה על פי הסמכויות המוקנות לה כחוק.</p>
",anat@lachish.org.il,08-6871674 ,"מועצה אזורית לכיש, מרכז כפרי נהורה ",~,Yes,,,,14015,13,,,,,"בנק הפועלים 
סניף 645
חשבון 643495 
",
